Country,City,Charging_Station_ID,Charging_Station_Type,EV_Model,Manufacturer,Battery_Capacity_kWh,Charging_Start_Time,Charging_End_Time,Charging_Duration_mins,Energy_Delivered_kWh,Charging_Cost_$,Payment_Method,Temperature,Charging_Session_Outcome,Station_Utilization_Rate
Germany,Berlin,CS-8195,DC Fast,Hyundai Kona Electric,Hyundai,64,31-Mar-25,31-Mar-25,77,18.17,5.83,Subscription,30.7,Completed,57.2
USA,New York,CS-5103,DC Fast,Nissan Leaf,Nissan,40,8-Mar-25,8-Mar-25,70,13.14,3.69,Card,23.6,Failed,53.6
France,Lyon,CS-4527,Level 1,BYD Han,BYD,76,21-Jan-25,21-Jan-25,86,62.47,6.37,Subscription,11.9,Aborted,22.4
India,Mumbai,CS-5717,DC Fast,Nissan Leaf,Nissan,40,4-Apr-25,4-Apr-25,112,8.39,2.97,App,27.3,Failed,46.8
Germany,Munich,CS-5093,Level 2,Nissan Leaf,Nissan,40,27-Mar-25,27-Mar-25,156,15.26,4.4,Subscription,2.7,Completed,13.7
France,Lyon,CS-5453,Level 2,Nissan Leaf,Nissan,40,28-Feb-25,28-Feb-25,74,35.33,7.56,Subscription,28.4,Completed,39.6
France,Nice,CS-9000,DC Fast,Hyundai Kona Electric,Hyundai,64,2-Mar-25,2-Mar-25,180,9.21,2.68,Subscription,4.8,Aborted,40.4
Japan,Tokyo,CS-6111,Level 2,Audi e-tron,Audi,95,6-Mar-25,6-Mar-25,29,25.61,2.81,App,5.7,Completed,83.1
Australia,Brisbane,CS-3469,DC Fast,Audi e-tron,Audi,95,14-Feb-25,14-Feb-25,69,63.99,13.99,App,0.7,Completed,29.7
Japan,Yokohama,CS-5773,Level 2,Hyundai Kona Electric,Hyundai,64,10-Jan-25,10-Jan-25,164,30.28,8.33,Card,34.9,Completed,50.8
Germany,Berlin,CS-3959,Level 2,Nissan Leaf,Nissan,40,2-Mar-25,2-Mar-25,54,26.96,9.1,Subscription,-2.5,Aborted,57.7
Norway,Trondheim,CS-1805,DC Fast,Hyundai Kona Electric,Hyundai,64,24-Mar-25,24-Mar-25,156,55.79,5.77,Card,22.3,Failed,70.1
India,Mumbai,CS-3305,DC Fast,Hyundai Kona Electric,Hyundai,64,25-Mar-25,25-Mar-25,126,14.33,1.45,Subscription,5.5,Failed,71
Japan,Tokyo,CS-8887,Level 2,Hyundai Kona Electric,Hyundai,64,21-Mar-25,21-Mar-25,178,34.95,5.58,Card,16.6,Failed,83.5
Australia,Melbourne,CS-9340,Level 2,Kia EV6,Kia,77,17-Jan-25,17-Jan-25,19,13.05,2.73,Card,-2.7,Failed,85.8
Germany,Hamburg,CS-5810,Level 1,Kia EV6,Kia,77,9-Mar-25,9-Mar-25,32,75.41,19.59,Card,21.4,Failed,23.2
Japan,Yokohama,CS-7364,DC Fast,Porsche Taycan,Porsche,93,29-Mar-25,29-Mar-25,69,86.74,28.33,Card,23.5,Aborted,89.6
India,Delhi,CS-4910,Level 2,Renault Zoe,Renault,52,9-Feb-25,10-Feb-25,130,10.69,1.79,Card,18.5,Completed,57.1
USA,New York,CS-3046,Level 2,Tesla Model 3,Tesla,60,22-Feb-25,22-Feb-25,73,8.71,0.95,Card,15.6,Aborted,63.5
France,Nice,CS-8586,Level 2,BMW i3,BMW,42,28-Jan-25,28-Jan-25,161,26.32,4.55,App,2.6,Completed,62.7
India,Delhi,CS-3995,DC Fast,Porsche Taycan,Porsche,93,16-Feb-25,16-Feb-25,134,81.02,9.42,Subscription,-1.1,Aborted,68.3
Germany,Berlin,CS-7819,Level 1,Chevy Bolt,Chevrolet,66,7-Feb-25,7-Feb-25,63,37.71,5.36,App,13.5,Completed,45.5
Japan,Tokyo,CS-9276,Level 1,Tesla Model 3,Tesla,60,11-Jan-25,12-Jan-25,153,50.98,19.92,Card,11.3,Aborted,27.1
Canada,Toronto,CS-3402,Level 2,BMW i3,BMW,42,15-Jan-25,15-Jan-25,112,5.08,1.1,App,11.9,Failed,89.6
Japan,Yokohama,CS-2183,Level 1,Kia EV6,Kia,77,28-Feb-25,28-Feb-25,54,18.67,3.09,Subscription,24.4,Completed,69.8
